40010001,Ecografo basico,UN,DIAGNOSTICO POR IMaGENES,0,1
40010002,Ecografo gineco-obstetrico,UN,DIAGNOSTICO POR IMaGENES,0,1
40010003,Ecografo multifuncional,UN,DIAGNOSTICO POR IMaGENES,0,1
40010004,Ecografo obstetrico basico,UN,DIAGNOSTICO POR IMaGENES,0,1
40010006,Ecografo oftalmologico,UN,DIAGNOSTICO POR IMaGENES,0,1
40010007,Ecografo de uso general,UN,DIAGNOSTICO POR IMaGENES,0,1
40010008,Equipo de irradiacion gama,UN,DIAGNOSTICO POR IMaGENES,0,1
40010009,Equipo de mamografia con stereotaxia,UN,DIAGNOSTICO POR IMaGENES,0,1
40010010,Equipo de rayos X procesamiento automatico de baja velocidad,UN,DIAGNOSTICO POR IMaGENES,0,1
40010012,Equipo de rayos X rodable potencia media portatil,UN,DIAGNOSTICO POR IMaGENES,0,1
40010014,Equipo de rayos X con intensificador de imagenes,UN,DIAGNOSTICO POR IMaGENES,0,1
40010015,Equipo de rayos X estacionario - mesa fija,UN,DIAGNOSTICO POR IMaGENES,0,1
40010016,Equipo de rayos X estacionario - radiografia (potencia baja),UN,DIAGNOSTICO POR IMaGENES,0,1
40010017,Equipo de rayos X estacionario - radiografia fluoroscopia (soporte de piso),UN,DIAGNOSTICO POR IMaGENES,0,1
40010018,Equipo de rayos X portatil,UN,DIAGNOSTICO POR IMaGENES,0,1
40010019,Equipo de rayos X rodable - potencia baja,UN,DIAGNOSTICO POR IMaGENES,0,1
40010020,Equipo de rayos X rodable - potencia media,UN,DIAGNOSTICO POR IMaGENES,0,1
40010021,Equipo de rayos X rodable potencia alta,UN,DIAGNOSTICO POR IMaGENES,0,1
40010022,Equipo de terapia combinada,UN,DIAGNOSTICO POR IMaGENES,0,1
40010023,Equipo de terapia con onda corta,UN,DIAGNOSTICO POR IMaGENES,0,1
40010024,Equipo de traccion cervical - lumbar,UN,DIAGNOSTICO POR IMaGENES,0,1
40010026,Doppler vascular periferico,UN,DIAGNOSTICO POR IMaGENES,0,1
40010027,Impresora termica para ecografo,UN,DIAGNOSTICO POR IMaGENES,0,1
40010028,Mesa bascular de rayos x,UN,DIAGNOSTICO POR IMaGENES,0,1
40010029,Procesador manual de pelicula dentales,UN,DIAGNOSTICO POR IMaGENES,0,1
40010030,Secadora de pelicula radiografica,UN,DIAGNOSTICO POR IMaGENES,0,1
40010031,Tomografo computarizado de 4 cortes,UN,DIAGNOSTICO POR IMaGENES,0,1
40010032,Acelerador lineal,UN,DIAGNOSTICO POR IMaGENES,0,1
40010033,Doppler,UN,DIAGNOSTICO POR IMaGENES,0,1
40010034,Ecografo cerebral,UN,DIAGNOSTICO POR IMaGENES,0,1
40010035,Equipo de rayos X panoramico - cefalografico,UN,DIAGNOSTICO POR IMaGENES,0,1
40010036,Equipo de resonancia magnetica,UN,DIAGNOSTICO POR IMaGENES,0,1
40010037,Impresora de video blanco y negro,UN,DIAGNOSTICO POR IMaGENES,0,1
40010038,Camara angiografica,UN,DIAGNOSTICO POR IMaGENES,0,1
40010039,Ecografo doppler color,UN,DIAGNOSTICO POR IMaGENES,0,1
40010040,Equipo de rayos X 300 ma,UN,DIAGNOSTICO POR IMaGENES,0,1
40010041,Equipo de rayos X 500 ma mesa fija,UN,DIAGNOSTICO POR IMaGENES,0,1
40010042,Equipo de rayos X estacionario - radiografia (potencia media),UN,DIAGNOSTICO POR IMaGENES,0,1
40010043,Equipo de rayos X estacionario - radiografia fluoroscopia,UN,DIAGNOSTICO POR IMaGENES,0,1
40010044,Equipo de rayos X panoramico,UN,DIAGNOSTICO POR IMaGENES,0,1
40010045,Equipo de rayos X rodable - potencia alta,UN,DIAGNOSTICO POR IMaGENES,0,1
40010046,Equipo de rayos X rodable arco en c - vascular,UN,DIAGNOSTICO POR IMaGENES,0,1
40010047,Equipo de rayos X rodable con tv.,UN,DIAGNOSTICO POR IMaGENES,0,1
40010048,Procesador automatico de peliculas radiograficas,UN,DIAGNOSTICO POR IMaGENES,0,1
40010049,Procesador automatico de peliculas baja capacidad,UN,DIAGNOSTICO POR IMaGENES,0,1
40010050,Procesador manual de pelicula radiografica,UN,DIAGNOSTICO POR IMaGENES,0,1
40010051,Proyector de cineangiografo,UN,DIAGNOSTICO POR IMaGENES,0,1
40010052,Tanque de acero quirurgico con dispensador,UN,DIAGNOSTICO POR IMaGENES,0,1
40010053,Ecocardiografo,UN,DIAGNOSTICO POR IMaGENES,0,1
40010054,Ecocardiografo + tee,UN,DIAGNOSTICO POR IMaGENES,0,1
40010055,Fantomas,UN,DIAGNOSTICO POR IMaGENES,0,1
40010056,Grabador y lector de discos opticos,UN,DIAGNOSTICO POR IMaGENES,0,1
40010057,Rejilla de prueba de contacto pantalla - pelicula,UN,DIAGNOSTICO POR IMaGENES,0,1
40010058,Sensitometro,UN,DIAGNOSTICO POR IMaGENES,0,1
40010059,Procesador de peliculas dentales,UN,DIAGNOSTICO POR IMaGENES,0,1
40010060,Monitor para tomografo axial computarizado,UN,DIAGNOSTICO POR IMaGENES,0,1
40010061,Procesador semiautomatico de pelicula radiografica,UN,DIAGNOSTICO POR IMaGENES,0,1
40010062,Equipo de mamografia,UN,DIAGNOSTICO POR IMaGENES,0,1
40010063,Equipo de rayos X estacionario - radiografia fluoroscopia (soporte de techo),UN,DIAGNOSTICO POR IMaGENES,0,1
40010064,Procesador automatico de peliculas alta capacidad,UN,DIAGNOSTICO POR IMaGENES,0,1
40010065,Procesador automatico de peliculas mediana capacidad,UN,DIAGNOSTICO POR IMaGENES,0,1
40010066,Procesador automatico de peliculas (convencionales/mamograficas) baja capacidad,UN,DIAGNOSTICO POR IMaGENES,0,1
40010067,Angiografo universal,UN,DIAGNOSTICO POR IMaGENES,0,1
40010068,Tomografo computarizado helicoidal,UN,DIAGNOSTICO POR IMaGENES,0,1
40010069,Impresora a color para tomografo computarizado,UN,DIAGNOSTICO POR IMaGENES,0,1
